#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.842094040555573e-01 -2.996876665012843e-01  6.648644929223956e-01 -5.286653118846605e-01 -1.384187713253356e-01 -8.374683467180590e-01  5.025108810279568e-01 -8.635954586295775e-01 -4.105725615377125e-02  5.025108810279568e-01 -8.635954586295775e-01 -4.105725615377125e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.063708200114759e-01 -5.336487769302350e-02 -9.770175405163408e-01 -2.070319916428665e-01 -5.683403892998162e-01 -7.963208877876565e-01 -9.332987052289314e-01  2.088991933538134e-01  2.920867231390810e-01 -9.332987052289314e-01  2.088991933538134e-01  2.920867231390810e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.003967423229890e-01  6.076995409411281e-01 -6.858452570930851e-01 -1.035176412826904e-01 -2.421782827804721e-02 -9.943327384415960e-01  5.754721039156859e-01 -1.148098589657095e-01 -8.097225166062308e-01  5.754721039156859e-01 -1.148098589657095e-01 -8.097225166062308e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  3.238806485521398e-02 -3.927848779241247e-02  9.987032660663906e-01 -9.495624148978870e-01 -2.503555811591266e-01  1.888208229930404e-01  2.171867178671489e-01  3.966271698589868e-02 -9.753239453962934e-01  2.171867178671489e-01  3.966271698589868e-02 -9.753239453962934e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.178753837998035e-01 -9.649920639136235e-01 -2.342983364810226e-01 -9.997645015040449e-01  1.792403962352616e-02 -1.223398283237617e-02  4.073552513679873e-01 -2.067212080303691e-01 -8.895662096400631e-01  4.073552513679873e-01 -2.067212080303691e-01 -8.895662096400631e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.641044821166290e-02  6.902258911626261e-02  9.969504307901740e-01  1.967211109963434e-01 -1.844061236478720e-02  9.802860543249485e-01 -9.669545410669649e-01  2.544561112282784e-01 -1.584307320431891e-02 -9.669545410669649e-01  2.544561112282784e-01 -1.584307320431891e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.431698863617776e-01 -6.374217582425581e-01  7.311374073905438e-01  2.155400438597145e-01 -9.585632156325218e-01  1.862768131818665e-01  2.534590123516508e-02  2.399002901662526e-01  9.704666073949815e-01  2.534590123516508e-02  2.399002901662526e-01  9.704666073949815e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.072223606392341e-01 -6.717115410619936e-01  5.399343316290273e-01 -7.549684808673502e-01  4.704003222999091e-01 -4.568874365497337e-01 -1.182327296702315e-01 -9.897732051430725e-01 -7.981243020692536e-02 -1.182327296702315e-01 -9.897732051430725e-01 -7.981243020692536e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.852183878536896e-01 -1.560781348378719e-01  9.456691213398444e-01 -6.545503550635587e-01 -3.433955999337469e-02  7.552381262261795e-01 -5.297854596284891e-02  1.464333154019585e-02 -9.984882806067712e-01 -5.297854596284891e-02  1.464333154019585e-02 -9.984882806067712e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.917446117016325e-01  2.143660756177471e-03  8.061226452846035e-01  8.286926190604957e-01  5.214885354454168e-01 -2.032689118228620e-01  3.249054803813926e-01  2.572372886261693e-01  9.100908779668069e-01  3.249054803813926e-01  2.572372886261693e-01  9.100908779668069e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.970252808401168e-02 -5.948025546570990e-01  8.023338330616794e-01  3.971586695856497e-02  5.778539385977190e-02  9.975387201348129e-01  2.364219880997435e-01  2.571712954032814e-01 -9.369992360528171e-01  2.364219880997435e-01  2.571712954032814e-01 -9.369992360528171e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.124793607774618e-01 -3.353662249008137e-01  7.158201784089413e-01 -8.753801675842421e-02  5.827207160750172e-02 -9.944553591250700e-01  7.758868639926534e-01 -2.973515819915873e-01  5.564005849841877e-01  7.758868639926534e-01 -2.973515819915873e-01  5.564005849841877e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  7.707728087607438e-02  9.969990768356063e-01 -7.206494411263465e-03 -4.284563672000367e-01  1.600341357408926e-01  8.892773565111241e-01  4.962885292720216e-01 -5.735317493210282e-01  6.517353974073949e-01  4.962885292720216e-01 -5.735317493210282e-01  6.517353974073949e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.662315043711433e-01  1.840733507154711e-02  8.240406867826101e-01  6.641570700575328e-01  4.102684196613779e-02 -7.464664657778534e-01  8.358587714334378e-01 -5.413455347894658e-01  9.102266850236521e-02  8.358587714334378e-01 -5.413455347894658e-01  9.102266850236521e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.365055182688990e-01  2.752207483341959e-01 -7.977564594244194e-01 -9.460470609721298e-01 -2.326367828840338e-02 -3.231930687661620e-01  9.810342920248302e-02 -1.168122631139222e-02 -9.951076655973340e-01  9.810342920248302e-02 -1.168122631139222e-02 -9.951076655973340e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.831903652214559e-01 -5.547767536327666e-01  7.823208872799109e-01 -8.782708382772735e-01 -1.937346133364874e-01  4.371581341197908e-01  4.352105434115735e-01 -1.648303418416851e-01 -8.851117112047248e-01  4.352105434115735e-01 -1.648303418416851e-01 -8.851117112047248e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.836268726275924e-01 -6.028704222475302e-04 -9.829958332547823e-01  3.947990585670236e-01 -2.312071222622418e-01 -8.892001855430557e-01 -9.601216690755571e-01 -6.865850821885885e-02  2.710210136146775e-01 -9.601216690755571e-01 -6.865850821885885e-02  2.710210136146775e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.139740676033299e-01  2.982115368136843e-01 -4.985138880517879e-01 -7.774388131479719e-02  9.075711632575496e-02 -9.928338404558661e-01  9.667145546726127e-01 -5.687234173231592e-02  2.494564221061764e-01  9.667145546726127e-01 -5.687234173231592e-02  2.494564221061764e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.653528715599584e-01  2.186877808146720e-01 -1.423709517187285e-01 -9.964935648816530e-01 -8.312204359610130e-02  9.555156611093357e-03  1.884272649671197e-01  1.315520458205117e-01 -9.732364692393359e-01  1.884272649671197e-01  1.315520458205117e-01 -9.732364692393359e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.674091541848984e-02 -3.786314677954130e-01 -9.253961061869895e-01 -7.972042832250815e-01 -2.043600131979279e-01  5.680689357932950e-01 -2.784459977776207e-01  2.823375299525799e-01 -9.180159832496934e-01 -2.784459977776207e-01  2.823375299525799e-01 -9.180159832496934e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.310996121968814e-01  1.668374933059923e-01 -9.585187635460373e-01  5.906378422773575e-01 -7.883612081797347e-01 -1.721439650622015e-01  1.003628952635345e-01  6.879450214910888e-01 -7.187899113509775e-01  1.003628952635345e-01  6.879450214910888e-01 -7.187899113509775e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.532135265760583e-01  6.984992528098520e-01 -4.539312589339484e-01 -1.229342396531405e-01  1.925657083075137e-02  9.922279764251483e-01  3.980252397246732e-01 -5.546195373187441e-01  7.307346148681194e-01  3.980252397246732e-01 -5.546195373187441e-01  7.307346148681194e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -7.384725806838679e-01 -4.219055001396542e-01 -5.259790837381431e-01 -1.924934071185449e-01  8.610490102982973e-01  4.706813041541132e-01 -6.694537386837593e-01  8.809065792396237e-02 -7.376121797725823e-01 -6.694537386837593e-01  8.809065792396237e-02 -7.376121797725823e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.252741953780180e-01  1.230272875232469e-03  9.921213949920860e-01  3.571262546632014e-01 -2.002209204056725e-02  9.338415037149255e-01  4.657476761490549e-01  1.232598114677935e-01 -8.762911166037683e-01  4.657476761490549e-01  1.232598114677935e-01 -8.762911166037683e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.473732836495694e-01  9.521430967339131e-01  1.795271062496797e-01  7.709321188220588e-01 -3.614167780927618e-01 -5.244440682108802e-01  5.933730672017885e-01 -1.932857918327293e-01  7.813763534911564e-01  5.933730672017885e-01 -1.932857918327293e-01  7.813763534911564e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.189477122039071e-01  2.799532668647142e-01 -5.009499107173897e-01  8.122400694028099e-01  4.748961646831019e-01  3.387324939030780e-01 -3.606362993706287e-01 -8.478939892379813e-01  3.886093701782811e-01 -3.606362993706287e-01 -8.478939892379813e-01  3.886093701782811e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.080988502336664e-01 -2.420940573534423e-01 -8.265748760913160e-01 -2.111803069656072e-01  8.365601758416623e-02 -9.738606412992927e-01 -8.075666527118429e-01  1.683739127505181e-01 -5.652312154621953e-01 -8.075666527118429e-01  1.683739127505181e-01 -5.652312154621953e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.952855463678079e-02  1.611536536496263e-01 -9.818979410953511e-01 -4.757991008124401e-01 -1.743123490122098e-01 -8.621081258449657e-01 -1.973482189627194e-02 -4.888625479453158e-01 -8.721375728754818e-01 -1.973482189627194e-02 -4.888625479453158e-01 -8.721375728754818e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.612595593677655e-01  7.173351053790856e-01 -5.221780974750196e-01  3.004160086000710e-01 -6.323224923214996e-01  7.140857703953560e-01 -4.133433682402642e-01  6.033382897755570e-01  6.820045219956384e-01 -4.133433682402642e-01  6.033382897755570e-01  6.820045219956384e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.121092595457507e-01 -3.297614034091838e-01 -8.493664550818207e-01 -1.791286109372788e-01 -1.081298127731780e-01 -9.778654735357611e-01 -3.227265719389125e-01  3.597308090786110e-01 -8.754663355973237e-01 -3.227265719389125e-01  3.597308090786110e-01 -8.754663355973237e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.895585168832473e-01 -2.918390495928048e-01 -8.216826806498014e-01  3.419366375746489e-01  4.396313196456179e-01  8.305441822508877e-01 -4.342423042247244e-01  8.454189639021094e-01  3.109668739532972e-01 -4.342423042247244e-01  8.454189639021094e-01  3.109668739532972e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.984054905666729e-01  1.233518500763721e-01  7.049922636661066e-01 -3.114481967188660e-01  9.325071271407793e-01  1.828400355289208e-01 -6.232064871977987e-01 -7.653477219716596e-01 -1.607996852838067e-01 -6.232064871977987e-01 -7.653477219716596e-01 -1.607996852838067e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.691198805997699e-01  7.216407729009229e-01 -6.378158705715344e-01  1.801560310751238e-01  2.062258281059203e-01 -9.617768516081505e-01  9.659674546551887e-02  6.569743523256830e-02 -9.931530172986096e-01  9.659674546551887e-02  6.569743523256830e-02 -9.931530172986096e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.208810327309469e-01  8.334389544150923e-01  1.845601771905847e-01  6.998003340857510e-01 -2.218055617671680e-01  6.790300326072642e-01  1.172069854969192e-01 -6.394788918074532e-02 -9.910465125411885e-01  1.172069854969192e-01 -6.394788918074532e-02 -9.910465125411885e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.791460968783706e-01 -7.770624621722915e-01  4.081579935869925e-01 -4.732772529426884e-01  4.542261876065259e-02 -8.797416822863101e-01 -3.289427329709452e-01  6.011930401887534e-02  9.424342670499049e-01 -3.289427329709452e-01  6.011930401887534e-02  9.424342670499049e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.222925585872182e-01  1.620379067336287e-01  9.614206858488806e-01  9.402627994848316e-01 -4.906278090803867e-02 -3.368956981537714e-01  9.323964365769539e-01 -3.592632250693434e-01  3.958307935687311e-02  9.323964365769539e-01 -3.592632250693434e-01  3.958307935687311e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.014618529980877e-01 -3.731692839252455e-01  9.221985566682015e-01 -5.346120256416931e-02 -4.326326352751000e-01 -8.999838346966657e-01 -2.815645489356582e-02  5.075799648885213e-01 -8.611444671433441e-01 -2.815645489356582e-02  5.075799648885213e-01 -8.611444671433441e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.180035636626079e-01  4.465051410431449e-01  8.869657930185166e-01 -1.035243455994612e-01 -1.099435561489195e-01  9.885318023865154e-01  3.668844463460031e-02  8.411655163450604e-02 -9.957802788624674e-01  3.668844463460031e-02  8.411655163450604e-02 -9.957802788624674e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.230683163945042e-01 -3.344224826077692e-01 -9.343531412834649e-01  4.352937693900626e-01 -7.189922924008416e-01 -5.418204663893509e-01  1.477697734509671e-02 -1.474677069064965e-02 -9.997820630991235e-01  1.477697734509671e-02 -1.474677069064965e-02 -9.997820630991235e-01
