#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.151812335928921E+04  0.292220472745602E+06
0.400000000000002E-08 0.996000000000003E+01  0.108877013063506E+04  0.290961533019719E+06
0.599999999999997E-08 0.129400000000000E+02  0.113395662541240E+04  0.291352168426627E+06
0.799999999999992E-08 0.159199999999999E+02  0.129317496300687E+04  0.291865861497533E+06
0.999999999999988E-08 0.188999999999998E+02  0.365777194456147E+03  0.290459910979388E+06
0.119999999999998E-07 0.218799999999997E+02  0.263919441766488E+04  0.291333602359077E+06
0.139999999999998E-07 0.248599999999997E+02  0.126204959967241E+04  0.291405571443657E+06
0.159999999999999E-07 0.278399999999999E+02 -0.363715831437459E+03  0.291194790284573E+06
0.180000000000002E-07 0.308200000000003E+02 -0.442765888546922E+02  0.291755433935256E+06
0.200000000000005E-07 0.338000000000007E+02  0.858715376853944E+03  0.289198395770718E+06
0.220000000000008E-07 0.367800000000011E+02  0.127932110133175E+04  0.290631156190627E+06
0.240000000000010E-07 0.397600000000016E+02  0.166143898179534E+04  0.288866603359403E+06
0.260000000000013E-07 0.427400000000020E+02  0.274465656678755E+04  0.289189147301638E+06
0.280000000000016E-07 0.457200000000024E+02  0.116916798602352E+03  0.290011036196364E+06
0.300000000000018E-07 0.487000000000027E+02  0.351859987794031E+04  0.286839244600450E+06
0.320000000000014E-07 0.516800000000022E+02 -0.166502735322109E+03  0.290598833989233E+06
0.340000000000011E-07 0.546600000000016E+02  0.736939112000395E+03  0.287182652161596E+06
0.360000000000007E-07 0.576400000000010E+02  0.132570060142894E+02  0.287752172642774E+06
0.380000000000003E-07 0.606200000000005E+02  0.694396412022230E+03  0.288259682314104E+06
0.399999999999999E-07 0.635999999999999E+02  0.217139354336760E+04  0.290204926703724E+06
0.419999999999995E-07 0.665799999999993E+02  0.393998307248133E+04  0.286038384956591E+06
0.439999999999992E-07 0.695599999999988E+02 -0.832727405414991E+03  0.285514059837890E+06
0.459999999999988E-07 0.725399999999982E+02  0.521088322048673E+03  0.287217359903359E+06
0.479999999999984E-07 0.755199999999976E+02  0.308603244321327E+04  0.289132697864813E+06
0.499999999999980E-07 0.784999999999971E+02  0.271260700708479E+04  0.288576428866256E+06
0.519999999999977E-07 0.814799999999965E+02  0.379526733537367E+04  0.284579240053880E+06
0.539999999999973E-07 0.844599999999959E+02  0.314734575287870E+04  0.286726505176937E+06
0.559999999999969E-07 0.874399999999954E+02  0.348090802210258E+04  0.284066260730775E+06
0.579999999999965E-07 0.904199999999948E+02  0.149284419802233E+04  0.284720120607424E+06
0.599999999999961E-07 0.933999999999943E+02 -0.133083717887685E+04  0.288588230873136E+06
0.619999999999958E-07 0.963799999999937E+02  0.224115336615049E+04  0.283797958636637E+06
0.639999999999954E-07 0.993599999999931E+02  0.977907871153710E+03  0.284475512570553E+06
0.659999999999950E-07 0.102339999999993E+03  0.205341060265219E+04  0.282964340285637E+06
0.679999999999946E-07 0.105319999999992E+03  0.167016760049069E+04  0.284048474948106E+06
0.699999999999942E-07 0.108299999999991E+03  0.607750874865254E+03  0.284088655337701E+06
0.719999999999939E-07 0.111279999999991E+03  0.246178542492232E+04  0.280837016098418E+06
0.739999999999935E-07 0.114259999999990E+03  0.352511734738429E+04  0.284100175132739E+06
0.759999999999931E-07 0.117239999999990E+03  0.435023986223959E+04  0.284017393261282E+06
0.779999999999927E-07 0.120219999999989E+03 -0.138332406322436E+04  0.282671972987267E+06
0.799999999999924E-07 0.123199999999989E+03  0.354463606644984E+04  0.283165913029330E+06
0.819999999999920E-07 0.126179999999988E+03 -0.271832994630603E+03  0.282119475980003E+06
0.839999999999916E-07 0.129159999999987E+03  0.346458792410581E+04  0.282569196079054E+06
0.859999999999912E-07 0.132139999999987E+03  0.359290026380299E+04  0.283863905109006E+06
