#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.804652155180119E+03  0.297350283043233E+06
0.400000000000002E-08 0.996000000000003E+01  0.175136584179774E+04  0.297032661686996E+06
0.599999999999997E-08 0.129400000000000E+02  0.172737479784004E+04  0.296806847779944E+06
0.799999999999992E-08 0.159199999999999E+02  0.729489168551311E+03  0.295429977527828E+06
0.999999999999988E-08 0.188999999999998E+02  0.179551936439298E+04  0.295328819520906E+06
0.119999999999998E-07 0.218799999999997E+02  0.984631305457741E+03  0.295573701958809E+06
0.139999999999998E-07 0.248599999999997E+02  0.239857028692625E+03  0.295425431102866E+06
0.159999999999999E-07 0.278399999999999E+02  0.288006385824697E+04  0.294383632018406E+06
0.180000000000002E-07 0.308200000000003E+02  0.117531591852852E+04  0.294291345781054E+06
0.200000000000005E-07 0.338000000000007E+02  0.214494135924404E+04  0.293451461673121E+06
0.220000000000008E-07 0.367800000000011E+02  0.153709156004381E+04  0.294182750216412E+06
0.240000000000010E-07 0.397600000000016E+02  0.300684579153345E+04  0.293512999911908E+06
0.260000000000013E-07 0.427400000000020E+02  0.805020963497109E+03  0.293518600512133E+06
0.280000000000016E-07 0.457200000000024E+02  0.100075895543062E+04  0.295923703704747E+06
0.300000000000018E-07 0.487000000000027E+02  0.107440177912263E+03  0.294420730015718E+06
0.320000000000014E-07 0.516800000000022E+02  0.260447327839057E+04  0.292614212828020E+06
0.340000000000011E-07 0.546600000000016E+02  0.450699302165308E+03  0.293750849747617E+06
0.360000000000007E-07 0.576400000000010E+02  0.179415304181059E+04  0.291815831096728E+06
0.380000000000003E-07 0.606200000000005E+02  0.309366054668923E+04  0.291933486184190E+06
0.399999999999999E-07 0.635999999999999E+02  0.134547850256678E+04  0.293627822934531E+06
0.419999999999995E-07 0.665799999999993E+02  0.151429071274298E+04  0.292746406009068E+06
0.439999999999992E-07 0.695599999999988E+02  0.209052048513907E+04  0.290006666152403E+06
0.459999999999988E-07 0.725399999999982E+02  0.357928057481599E+04  0.291623454943351E+06
0.479999999999984E-07 0.755199999999976E+02  0.113360896007785E+04  0.291380933035959E+06
0.499999999999980E-07 0.784999999999971E+02  0.426843305649481E+04  0.288980417531902E+06
0.519999999999977E-07 0.814799999999965E+02  0.283196006935313E+04  0.290659330913572E+06
0.539999999999973E-07 0.844599999999959E+02  0.481430872817532E+04  0.287320305992313E+06
0.559999999999969E-07 0.874399999999954E+02 -0.182513448511945E+03  0.289940751678869E+06
0.579999999999965E-07 0.904199999999948E+02  0.133618342094928E+04  0.289513149928654E+06
0.599999999999961E-07 0.933999999999943E+02  0.115836953043131E+04  0.290423683929658E+06
0.619999999999958E-07 0.963799999999937E+02  0.571651570597155E+04  0.287962683038674E+06
0.639999999999954E-07 0.993599999999931E+02 -0.246256333353562E+04  0.287521576238580E+06
0.659999999999950E-07 0.102339999999993E+03 -0.102427679806447E+03  0.287404035303232E+06
0.679999999999946E-07 0.105319999999992E+03  0.289028030308158E+04  0.288809810534498E+06
0.699999999999942E-07 0.108299999999991E+03  0.226277616896501E+04  0.288521943895605E+06
0.719999999999939E-07 0.111279999999991E+03  0.576550859781705E+04  0.284657929165045E+06
0.739999999999935E-07 0.114259999999990E+03  0.371739877980464E+04  0.289194950679746E+06
0.759999999999931E-07 0.117239999999990E+03  0.127095926881429E+04  0.287835867491944E+06
0.779999999999927E-07 0.120219999999989E+03  0.706379216581651E+03  0.286087101631494E+06
0.799999999999924E-07 0.123199999999989E+03  0.365610883210676E+04  0.285367439217084E+06
0.819999999999920E-07 0.126179999999988E+03  0.307942756609846E+04  0.281702490215365E+06
0.839999999999916E-07 0.129159999999987E+03 -0.355780390550406E+03  0.285466129905012E+06
0.859999999999912E-07 0.132139999999987E+03  0.366371506979738E+04  0.287012988929455E+06
0.879999999999908E-07 0.135119999999986E+03  0.333859425139983E+04  0.284405598758673E+06
0.899999999999905E-07 0.138099999999986E+03  0.103146664739723E+04  0.285497073277115E+06
0.919999999999901E-07 0.141079999999985E+03  0.134848816124674E+04  0.285513470312091E+06
0.939999999999897E-07 0.144059999999985E+03  0.290620620096823E+04  0.285665382919539E+06
0.959999999999893E-07 0.147039999999984E+03  0.315544870977399E+04  0.284584878278720E+06
0.979999999999889E-07 0.150019999999984E+03  0.641864003201791E+04  0.283448010571615E+06
0.999999999999886E-07 0.152999999999983E+03 -0.615825973015377E+02  0.281720570025795E+06
0.101999999999988E-06 0.155979999999982E+03  0.506230854176439E+04  0.282295620260723E+06
0.103999999999988E-06 0.158959999999982E+03  0.197321667364465E+04  0.283709384538524E+06
0.105999999999987E-06 0.161939999999981E+03  0.504228451814903E+04  0.282919849844866E+06
0.107999999999987E-06 0.164919999999981E+03  0.457830962623193E+04  0.284042233113302E+06
0.109999999999987E-06 0.167899999999980E+03  0.491140665491099E+04  0.280483339903498E+06
0.111999999999986E-06 0.170879999999980E+03  0.959721446610176E+03  0.278878840696464E+06
0.113999999999986E-06 0.173859999999979E+03  0.352201031133012E+04  0.281504721316531E+06
0.115999999999986E-06 0.176839999999978E+03  0.709479146617390E+04  0.279675809070968E+06
0.117999999999985E-06 0.179819999999978E+03  0.448790933824201E+04  0.278587257719282E+06
0.119999999999986E-06 0.182799999999979E+03  0.718451848206030E+04  0.280876557065231E+06
0.121999999999988E-06 0.185779999999982E+03  0.786369327362521E+04  0.273480284729118E+06
0.123999999999990E-06 0.188759999999986E+03  0.546340185812075E+04  0.275115614893776E+06
0.125999999999993E-06 0.191739999999989E+03  0.608636359222441E+04  0.275846348647225E+06
0.127999999999995E-06 0.194719999999992E+03  0.518923360860999E+04  0.278852125401317E+06
0.129999999999997E-06 0.197699999999996E+03  0.718923747971594E+04  0.276263393426675E+06
