#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.198696244011787e-01 -5.972804029547842e-01 -5.089378832342041e-01  6.558565192683197e-01 -5.622961710950625e-01 -5.036618330835448e-01  6.219911228891949e-01  3.739187540249372e-01 -6.879766045698625e-01  6.219911228891949e-01  3.739187540249372e-01 -6.879766045698625e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.536098457263827e-03 -2.948087094181940e-02  9.995198552678807e-01  5.184782984301071e-02 -1.247218000345485e-01 -9.908361494902739e-01  6.362067401069594e-01 -7.695009297137086e-01 -5.576112456016116e-02  6.362067401069594e-01 -7.695009297137086e-01 -5.576112456016116e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.490028678080496e-02  9.920965037108631e-02 -9.929478324912221e-01 -4.667255403759318e-03 -9.996093776742873e-01 -2.755555828903032e-02 -9.765749983917374e-01  7.772184681591583e-02 -2.006504100262479e-01 -9.765749983917374e-01  7.772184681591583e-02 -2.006504100262479e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  3.158043757385885e-01  8.507330388750058e-01  4.201438953868758e-01 -2.444098709686411e-01  8.775875763408346e-01 -4.124364930814343e-01 -8.350917569810502e-01 -1.366725165115702e-01 -5.328624406473936e-01 -8.350917569810502e-01 -1.366725165115702e-01 -5.328624406473936e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.303536459796965e-01 -7.250329857035558e-01  4.393770360838516e-01 -4.408613453050495e-01  6.550355543834664e-01 -6.136527492885261e-01 -7.005126118213320e-01 -6.566762387768372e-01  2.793893306931426e-01 -7.005126118213320e-01 -6.566762387768372e-01  2.793893306931426e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.027609244186489e-01 -5.421673750743359e-01  7.838305684586240e-01  6.335320869642854e-01  3.885875075901491e-01  6.690566820020206e-01 -2.788271178514059e-02  2.523425668510434e-02  9.992926431596787e-01 -2.788271178514059e-02  2.523425668510434e-02  9.992926431596787e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.865699491873737e-01  1.562367288480306e-02 -8.735019092099257e-01  4.181873197300276e-01  4.285560633127110e-01 -8.009113972312588e-01  3.473722368212931e-03 -1.752509168763057e-01  9.845176734761660e-01  3.473722368212931e-03 -1.752509168763057e-01  9.845176734761660e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.229886360466332e-01  1.727538571370086e-01  3.438721892986721e-01 -7.816762733965712e-01  6.091546298513713e-01  1.338388603488825e-01  3.397281175673927e-01  4.489017836868215e-03 -9.405129743140049e-01  3.397281175673927e-01  4.489017836868215e-03 -9.405129743140049e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.142699652813816e-01 -6.941469730000116e-02  9.743048710629875e-01 -7.950128210053854e-02 -5.066885707903261e-02 -9.955461883140707e-01 -7.671661020309642e-02 -6.016293612353963e-01 -7.950828091579110e-01 -7.671661020309642e-02 -6.016293612353963e-01 -7.950828091579110e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.001595510579870e-01 -1.181820669552581e-01 -5.880286488776407e-01 -1.472896867337379e-02 -6.748816688071638e-01  7.377789578118072e-01  4.585219384826377e-01 -3.377756621647295e-02 -8.880409382177242e-01  4.585219384826377e-01 -3.377756621647295e-02 -8.880409382177242e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.761005310272189e-02 -2.557462745950514e-01  9.650258674316736e-01 -2.354655377738477e-01  8.207496891769064e-01  5.205054545697713e-01  2.296565243527431e-01 -1.082151069989461e-01  9.672369779115274e-01  2.296565243527431e-01 -1.082151069989461e-01  9.672369779115274e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.556531206161075e-01 -4.920992015410628e-01  7.417672205722301e-01  4.695768064506544e-02 -2.098142895742266e-01 -9.766129940354565e-01 -6.862543430891001e-03 -1.559703953419926e-01  9.877378909784325e-01 -6.862543430891001e-03 -1.559703953419926e-01  9.877378909784325e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.352723973787094e-01 -5.435376747582969e-02  9.405520121275145e-01 -6.982220348987226e-01 -2.174703418321478e-01 -6.820503210213275e-01  7.366506523510253e-03 -4.605663019898336e-02 -9.989116684654120e-01  7.366506523510253e-03 -4.605663019898336e-02 -9.989116684654120e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.808704349442345e-01  7.205582115499806e-02  9.570369676307784e-01 -6.180828372755864e-01 -1.724941241620298e-01  7.669546162550528e-01 -8.424329786640650e-01 -1.950215742436938e-01  5.022681176808883e-01 -8.424329786640650e-01 -1.950215742436938e-01  5.022681176808883e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.831793647248642e-01 -2.601050826904932e-01  7.695759705952853e-01  6.496025313928624e-01 -6.083827219829763e-01 -4.559462849948114e-01  1.089409072259184e-01 -9.070843492180969e-01 -4.066077497249353e-01  1.089409072259184e-01 -9.070843492180969e-01 -4.066077497249353e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.094052469758762e-01  5.263440295286334e-01 -6.807850298978436e-01 -1.068451205802541e-01 -5.163844482497529e-01 -8.496653587230618e-01  2.148964326857303e-03 -7.041899342834615e-01  7.100083931941762e-01  2.148964326857303e-03 -7.041899342834615e-01  7.100083931941762e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.266376043052809e-01  2.800697250475843e-01 -2.508060992064194e-01  7.072594201179998e-01  4.881519808472880e-01 -5.113626465134304e-01  5.175482388726909e-01 -6.483506111073688e-01  5.583773862867993e-01  5.175482388726909e-01 -6.483506111073688e-01  5.583773862867993e-01
