#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01 -0.452686167949601E+04  0.290047770753105E+06
0.400000000000002E-08 0.996000000000003E+01 -0.504912881065933E+04  0.289925478627396E+06
0.599999999999997E-08 0.129400000000000E+02 -0.425987072360747E+04  0.290364232367315E+06
0.799999999999992E-08 0.159199999999999E+02 -0.563410785700281E+04  0.288190601453527E+06
0.999999999999988E-08 0.188999999999998E+02 -0.595616798449628E+04  0.289180955196167E+06
0.119999999999998E-07 0.218799999999997E+02 -0.536449724129980E+04  0.288324540773908E+06
0.139999999999998E-07 0.248599999999997E+02 -0.490771851034780E+04  0.288444012534123E+06
0.159999999999999E-07 0.278399999999999E+02 -0.641095205626221E+04  0.289680404507284E+06
0.180000000000002E-07 0.308200000000003E+02 -0.471599679991883E+04  0.287868663218475E+06
0.200000000000005E-07 0.338000000000007E+02 -0.504941996498274E+04  0.288376673121752E+06
0.220000000000008E-07 0.367800000000011E+02 -0.316069711240194E+04  0.287606793881938E+06
0.240000000000010E-07 0.397600000000016E+02 -0.309199829535183E+04  0.288085870688687E+06
0.260000000000013E-07 0.427400000000020E+02 -0.545305110848554E+04  0.288362518926504E+06
0.280000000000016E-07 0.457200000000024E+02 -0.517060509635383E+04  0.286478611666532E+06
0.300000000000018E-07 0.487000000000027E+02 -0.481875858746273E+04  0.286870200664264E+06
0.320000000000014E-07 0.516800000000022E+02 -0.470431183471237E+04  0.282723052740435E+06
0.340000000000011E-07 0.546600000000016E+02 -0.384996382288258E+04  0.286558553458545E+06
0.360000000000007E-07 0.576400000000010E+02 -0.687206345955138E+04  0.285057284750010E+06
0.380000000000003E-07 0.606200000000005E+02 -0.536252732115057E+04  0.286190516844597E+06
0.399999999999999E-07 0.635999999999999E+02 -0.550336270148958E+04  0.284207723170961E+06
0.419999999999995E-07 0.665799999999993E+02 -0.509516846783472E+04  0.282762548966044E+06
0.439999999999992E-07 0.695599999999988E+02 -0.716683899028230E+04  0.284963347092132E+06
0.459999999999988E-07 0.725399999999982E+02 -0.633283017571837E+04  0.284196006562884E+06
0.479999999999984E-07 0.755199999999976E+02 -0.778461794062329E+04  0.283108152989263E+06
0.499999999999980E-07 0.784999999999971E+02 -0.209191099799934E+04  0.281990216911862E+06
0.519999999999977E-07 0.814799999999965E+02 -0.372510893066648E+04  0.285010699172191E+06
0.539999999999973E-07 0.844599999999959E+02 -0.276152530073610E+04  0.283707366940514E+06
0.559999999999969E-07 0.874399999999954E+02 -0.171045215248303E+04  0.284041607246753E+06
0.579999999999965E-07 0.904199999999948E+02 -0.471711099448583E+04  0.285540029784807E+06
0.599999999999961E-07 0.933999999999943E+02 -0.652128094148469E+04  0.283756751750297E+06
0.619999999999958E-07 0.963799999999937E+02 -0.217047777127960E+04  0.283808991902441E+06
0.639999999999954E-07 0.993599999999931E+02 -0.843582645068138E+03  0.282177006738475E+06
0.659999999999950E-07 0.102339999999993E+03 -0.397046612757913E+04  0.281697789993455E+06
0.679999999999946E-07 0.105319999999992E+03 -0.671534988443733E+04  0.282595851932140E+06
0.699999999999942E-07 0.108299999999991E+03 -0.440168313107673E+04  0.279588961212877E+06
0.719999999999939E-07 0.111279999999991E+03 -0.623608033282196E+03  0.279124458693376E+06
0.739999999999935E-07 0.114259999999990E+03 -0.161745020553894E+04  0.282595307720429E+06
0.759999999999931E-07 0.117239999999990E+03 -0.247342016714319E+04  0.281385587112754E+06
0.779999999999927E-07 0.120219999999989E+03 -0.448455675927874E+04  0.280933703599676E+06
0.799999999999924E-07 0.123199999999989E+03 -0.270050803415913E+04  0.280106583507499E+06
0.819999999999920E-07 0.126179999999988E+03 -0.333820483968150E+04  0.277181789857578E+06
0.839999999999916E-07 0.129159999999987E+03 -0.697186074345865E+04  0.280657477613036E+06
0.859999999999912E-07 0.132139999999987E+03 -0.534167538640953E+04  0.281281204487758E+06
0.879999999999908E-07 0.135119999999986E+03 -0.359665156181926E+04  0.280414886191177E+06
0.899999999999905E-07 0.138099999999986E+03 -0.483443857276475E+04  0.277949305423271E+06
0.919999999999901E-07 0.141079999999985E+03 -0.388691983865568E+04  0.278245213435141E+06
0.939999999999897E-07 0.144059999999985E+03 -0.396489445607337E+04  0.281616246276080E+06
0.959999999999893E-07 0.147039999999984E+03 -0.925058783606709E+04  0.277202769222765E+06
0.979999999999889E-07 0.150019999999984E+03 -0.258454377537968E+04  0.276348627118685E+06
0.999999999999886E-07 0.152999999999983E+03 -0.596375291460449E+03  0.278437223091232E+06
0.101999999999988E-06 0.155979999999982E+03 -0.181726438949907E+04  0.274494726734168E+06
0.103999999999988E-06 0.158959999999982E+03 -0.743882956565075E+04  0.275117531580297E+06
0.105999999999987E-06 0.161939999999981E+03  0.115529224853010E+04  0.274622518710287E+06
0.107999999999987E-06 0.164919999999981E+03 -0.402894555605364E+04  0.276245610277121E+06
