#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.113247343683477E+04  0.294548336501741E+06
0.400000000000002E-08 0.996000000000003E+01  0.138625125667061E+04  0.294700535489333E+06
0.599999999999997E-08 0.129400000000000E+02  0.181564308539675E+04  0.293291330460690E+06
0.799999999999992E-08 0.159199999999999E+02  0.141813503247597E+04  0.291947677119317E+06
0.999999999999988E-08 0.188999999999998E+02  0.265849848548903E+04  0.292250718437249E+06
0.119999999999998E-07 0.218799999999997E+02  0.294279943014700E+04  0.293905826668357E+06
0.139999999999998E-07 0.248599999999997E+02  0.111981967587372E+04  0.292652778831401E+06
0.159999999999999E-07 0.278399999999999E+02  0.285707554699568E+04  0.292691059039198E+06
0.180000000000002E-07 0.308200000000003E+02  0.274564497460241E+04  0.292161383612854E+06
0.200000000000005E-07 0.338000000000007E+02  0.358431007365390E+04  0.291435047571496E+06
0.220000000000008E-07 0.367800000000011E+02  0.989491582337477E+03  0.290862853871539E+06
0.240000000000010E-07 0.397600000000016E+02  0.263196988769636E+04  0.290502345199918E+06
0.260000000000013E-07 0.427400000000020E+02  0.171855487810110E+04  0.291065990534755E+06
0.280000000000016E-07 0.457200000000024E+02  0.992689623209573E+03  0.288611404578578E+06
0.300000000000018E-07 0.487000000000027E+02  0.119511726144781E+03  0.289020318697130E+06
0.320000000000014E-07 0.516800000000022E+02  0.314242536248475E+04  0.289860835714610E+06
0.340000000000011E-07 0.546600000000016E+02  0.205612006161495E+04  0.291388637437593E+06
0.360000000000007E-07 0.576400000000010E+02 -0.245641906788240E+03  0.289686634150448E+06
0.380000000000003E-07 0.606200000000005E+02 -0.788350486202474E+03  0.289546457086411E+06
0.399999999999999E-07 0.635999999999999E+02  0.204723487889434E+04  0.289146653932671E+06
0.419999999999995E-07 0.665799999999993E+02  0.415883401307301E+04  0.288895406167263E+06
0.439999999999992E-07 0.695599999999988E+02  0.214980211401294E+04  0.289248626394141E+06
0.459999999999988E-07 0.725399999999982E+02  0.111271420673150E+04  0.288713469669878E+06
0.479999999999984E-07 0.755199999999976E+02 -0.147255768853647E+04  0.291342377526654E+06
0.499999999999980E-07 0.784999999999971E+02  0.595599874250897E+03  0.290052590783928E+06
0.519999999999977E-07 0.814799999999965E+02  0.230032279726183E+04  0.286358952370123E+06
0.539999999999973E-07 0.844599999999959E+02  0.379616173804505E+04  0.287981213146448E+06
0.559999999999969E-07 0.874399999999954E+02  0.225074893081148E+04  0.287204494523254E+06
0.579999999999965E-07 0.904199999999948E+02  0.159712500979329E+04  0.290267596422732E+06
0.599999999999961E-07 0.933999999999943E+02  0.268593629057612E+04  0.288335594122146E+06
0.619999999999958E-07 0.963799999999937E+02  0.273013476814424E+04  0.287416873231069E+06
0.639999999999954E-07 0.993599999999931E+02  0.289563130010143E+04  0.285136236034723E+06
0.659999999999950E-07 0.102339999999993E+03  0.143207954795043E+04  0.283913745717904E+06
0.679999999999946E-07 0.105319999999992E+03  0.359633526504359E+04  0.287022871872245E+06
0.699999999999942E-07 0.108299999999991E+03  0.173551100090920E+04  0.284541682630142E+06
0.719999999999939E-07 0.111279999999991E+03 -0.137966276881055E+04  0.285203907440911E+06
0.739999999999935E-07 0.114259999999990E+03  0.322026676231344E+04  0.285834848871336E+06
0.759999999999931E-07 0.117239999999990E+03  0.453858151149135E+04  0.283628025943463E+06
0.779999999999927E-07 0.120219999999989E+03 -0.382503997362316E+04  0.284796196936637E+06
