#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.218140211267406E+04  0.285922152676578E+06
0.400000000000002E-08 0.996000000000003E+01  0.167634406239774E+04  0.286001325060946E+06
0.599999999999997E-08 0.129400000000000E+02  0.143057619545612E+04  0.285374835147927E+06
0.799999999999992E-08 0.159199999999999E+02  0.223993739364788E+04  0.284633282696440E+06
0.999999999999988E-08 0.188999999999998E+02  0.354702447066049E+04  0.284108582211130E+06
0.119999999999998E-07 0.218799999999997E+02  0.214325316445308E+04  0.284367658706460E+06
0.139999999999998E-07 0.248599999999997E+02  0.187429824563504E+04  0.283561253294975E+06
0.159999999999999E-07 0.278399999999999E+02  0.108706771584547E+04  0.284556303264167E+06
0.180000000000002E-07 0.308200000000003E+02  0.345097745618431E+04  0.284847015472276E+06
0.200000000000005E-07 0.338000000000007E+02  0.242168718208591E+04  0.284056632944618E+06
0.220000000000008E-07 0.367800000000011E+02  0.308974834875868E+04  0.282943665588851E+06
0.240000000000010E-07 0.397600000000016E+02  0.252935255507343E+04  0.283111590206127E+06
0.260000000000013E-07 0.427400000000020E+02  0.209152548768244E+04  0.281660755674661E+06
0.280000000000016E-07 0.457200000000024E+02  0.202723375914240E+04  0.283079417872729E+06
0.300000000000018E-07 0.487000000000027E+02  0.303745576621093E+04  0.282185037244072E+06
0.320000000000014E-07 0.516800000000022E+02  0.425646780091535E+04  0.282024267781755E+06
0.340000000000011E-07 0.546600000000016E+02  0.436519745279541E+04  0.280671877703394E+06
0.360000000000007E-07 0.576400000000010E+02  0.545006147313309E+03  0.281008969829493E+06
0.380000000000003E-07 0.606200000000005E+02  0.160648955925054E+04  0.280841877888617E+06
0.399999999999999E-07 0.635999999999999E+02  0.364576739244801E+04  0.279136353147370E+06
0.419999999999995E-07 0.665799999999993E+02  0.508130912318987E+04  0.279443519124170E+06
0.439999999999992E-07 0.695599999999988E+02  0.346946513316191E+04  0.280476184335681E+06
0.459999999999988E-07 0.725399999999982E+02  0.146813771871613E+04  0.279005395709967E+06
