#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01 -0.381742147154842E+04  0.290640897962779E+06
0.400000000000002E-08 0.996000000000003E+01 -0.315556017090772E+04  0.289060666392024E+06
0.599999999999997E-08 0.129400000000000E+02 -0.322644015582866E+04  0.289836790456149E+06
0.799999999999992E-08 0.159199999999999E+02 -0.354369122322374E+04  0.289833488118047E+06
0.999999999999988E-08 0.188999999999998E+02 -0.228480854196799E+04  0.288945754003740E+06
0.119999999999998E-07 0.218799999999997E+02 -0.402802957541529E+04  0.288637573817199E+06
0.139999999999998E-07 0.248599999999997E+02 -0.409719463692194E+04  0.288984231472795E+06
0.159999999999999E-07 0.278399999999999E+02 -0.199282317202205E+04  0.288946876495212E+06
0.180000000000002E-07 0.308200000000003E+02 -0.224540380637495E+04  0.288668256562603E+06
0.200000000000005E-07 0.338000000000007E+02 -0.502840255181291E+04  0.288240279393280E+06
0.220000000000008E-07 0.367800000000011E+02 -0.414799681251135E+04  0.288427872114306E+06
0.240000000000010E-07 0.397600000000016E+02 -0.365271543971377E+04  0.286249523901210E+06
0.260000000000013E-07 0.427400000000020E+02 -0.350814865473650E+04  0.285037993260130E+06
0.280000000000016E-07 0.457200000000024E+02 -0.334711467492262E+04  0.286540751523007E+06
0.300000000000018E-07 0.487000000000027E+02 -0.238938378726698E+04  0.285845457560418E+06
0.320000000000014E-07 0.516800000000022E+02 -0.381088421716238E+04  0.287010691530787E+06
0.340000000000011E-07 0.546600000000016E+02 -0.424610630371007E+04  0.285290496433397E+06
0.360000000000007E-07 0.576400000000010E+02 -0.114417411507948E+04  0.285157446483183E+06
0.380000000000003E-07 0.606200000000005E+02 -0.337091874524204E+04  0.286093462611385E+06
0.399999999999999E-07 0.635999999999999E+02 -0.144081820886137E+04  0.285442975087002E+06
0.419999999999995E-07 0.665799999999993E+02 -0.483576904988192E+04  0.286977582870970E+06
0.439999999999992E-07 0.695599999999988E+02 -0.375721391393071E+04  0.284199522107347E+06
0.459999999999988E-07 0.725399999999982E+02 -0.255859537010326E+04  0.284490415647318E+06
0.479999999999984E-07 0.755199999999976E+02 -0.332731306850497E+04  0.285117140596299E+06
0.499999999999980E-07 0.784999999999971E+02 -0.278089580605613E+04  0.285582451628363E+06
0.519999999999977E-07 0.814799999999965E+02 -0.102104993066876E+04  0.284924279150885E+06
0.539999999999973E-07 0.844599999999959E+02 -0.355803201458032E+04  0.284886068759900E+06
0.559999999999969E-07 0.874399999999954E+02 -0.153570386349004E+04  0.283308037943143E+06
0.579999999999965E-07 0.904199999999948E+02  0.172015888997144E+04  0.281211997881306E+06
0.599999999999961E-07 0.933999999999943E+02 -0.435607473716685E+04  0.283185173921010E+06
0.619999999999958E-07 0.963799999999937E+02 -0.342286640650197E+04  0.282649817062270E+06
0.639999999999954E-07 0.993599999999931E+02 -0.120893533071955E+04  0.281921805279516E+06
0.659999999999950E-07 0.102339999999993E+03 -0.462385311388278E+04  0.280333902599376E+06
0.679999999999946E-07 0.105319999999992E+03 -0.334946262569991E+04  0.279949730195669E+06
0.699999999999942E-07 0.108299999999991E+03 -0.364910034426177E+04  0.283337175440451E+06
0.719999999999939E-07 0.111279999999991E+03 -0.166294750592960E+04  0.284055921446577E+06
0.739999999999935E-07 0.114259999999990E+03 -0.438822248289311E+04  0.279620049103823E+06
0.759999999999931E-07 0.117239999999990E+03 -0.369444466754110E+04  0.281324020659443E+06
0.779999999999927E-07 0.120219999999989E+03 -0.470553915996010E+04  0.281379989034957E+06
0.799999999999924E-07 0.123199999999989E+03  0.345024062038916E+03  0.278707508554686E+06
0.819999999999920E-07 0.126179999999988E+03 -0.837283825573626E+03  0.280344309762551E+06
0.839999999999916E-07 0.129159999999987E+03 -0.249770228771296E+04  0.282210878260144E+06
