#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01 -0.489178407488889E+04  0.286481046364796E+06
0.400000000000002E-08 0.996000000000003E+01 -0.527461646533472E+04  0.285558669643525E+06
0.599999999999997E-08 0.129400000000000E+02 -0.629303250591002E+04  0.285387400785326E+06
0.799999999999992E-08 0.159199999999999E+02 -0.595453435929674E+04  0.284793408101040E+06
0.999999999999988E-08 0.188999999999998E+02 -0.508078101613141E+04  0.285901539483597E+06
0.119999999999998E-07 0.218799999999997E+02 -0.587661617792082E+04  0.284088617036648E+06
0.139999999999998E-07 0.248599999999997E+02 -0.413771126184655E+04  0.283770428480321E+06
0.159999999999999E-07 0.278399999999999E+02 -0.554826766027510E+04  0.283429511066518E+06
0.180000000000002E-07 0.308200000000003E+02 -0.508002299860530E+04  0.283655973925060E+06
0.200000000000005E-07 0.338000000000007E+02 -0.524331816090029E+04  0.285928361454955E+06
0.220000000000008E-07 0.367800000000011E+02 -0.512947225111142E+04  0.283314075641378E+06
0.240000000000010E-07 0.397600000000016E+02 -0.502181488177679E+04  0.284175415611678E+06
0.260000000000013E-07 0.427400000000020E+02 -0.476142846400079E+04  0.282706572226400E+06
0.280000000000016E-07 0.457200000000024E+02 -0.620169112698430E+04  0.281961067063781E+06
0.300000000000018E-07 0.487000000000027E+02 -0.472719335402828E+04  0.284027779662654E+06
0.320000000000014E-07 0.516800000000022E+02 -0.359089583864791E+04  0.284081227965671E+06
0.340000000000011E-07 0.546600000000016E+02 -0.417620376699420E+04  0.282524870460400E+06
0.360000000000007E-07 0.576400000000010E+02 -0.662354439618971E+04  0.283222710280081E+06
0.380000000000003E-07 0.606200000000005E+02 -0.489890474942140E+04  0.283878826391662E+06
0.399999999999999E-07 0.635999999999999E+02 -0.294354580660272E+04  0.281673910073331E+06
0.419999999999995E-07 0.665799999999993E+02 -0.510624070615036E+04  0.279073910330025E+06
0.439999999999992E-07 0.695599999999988E+02 -0.556280660229996E+04  0.281261982845414E+06
0.459999999999988E-07 0.725399999999982E+02 -0.712835109021243E+04  0.283594416738813E+06
0.479999999999984E-07 0.755199999999976E+02 -0.532380407100797E+04  0.280043060784091E+06
0.499999999999980E-07 0.784999999999971E+02 -0.454591033331955E+04  0.279471543021889E+06
0.519999999999977E-07 0.814799999999965E+02 -0.293686739528899E+04  0.279525934973590E+06
0.539999999999973E-07 0.844599999999959E+02 -0.145125192076430E+04  0.279121579931378E+06
0.559999999999969E-07 0.874399999999954E+02 -0.646324446366346E+04  0.279214987541716E+06
0.579999999999965E-07 0.904199999999948E+02 -0.691874644007318E+04  0.279814190119073E+06
0.599999999999961E-07 0.933999999999943E+02 -0.554865467824375E+04  0.281874988823020E+06
0.619999999999958E-07 0.963799999999937E+02 -0.320133654173352E+04  0.278909498251680E+06
0.639999999999954E-07 0.993599999999931E+02 -0.749568294227354E+04  0.277516978999576E+06
0.659999999999950E-07 0.102339999999993E+03  0.106194479945169E+04  0.277834366461962E+06
0.679999999999946E-07 0.105319999999992E+03 -0.549440045522069E+04  0.281482798202535E+06
