#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.180000000000054E-06 0.272200000000080E+03  0.209072832951585E+05  0.222949067858555E+06
0.182000000000056E-06 0.275180000000084E+03  0.268954126973202E+05  0.215081539685162E+06
0.184000000000058E-06 0.278160000000087E+03  0.231983867120261E+05  0.215285516171020E+06
0.186000000000061E-06 0.281140000000090E+03  0.239794474674387E+05  0.214634905049393E+06
0.188000000000063E-06 0.284120000000094E+03  0.338307794902039E+05  0.210373959218099E+06
0.190000000000065E-06 0.287100000000097E+03  0.365908506488949E+05  0.212962817823589E+06
0.192000000000067E-06 0.290080000000101E+03  0.428970827437821E+05  0.205430340271190E+06
0.194000000000070E-06 0.293060000000104E+03  0.355106985236505E+05  0.201119504492336E+06
0.196000000000072E-06 0.296040000000107E+03  0.407196346377565E+05  0.191581781279484E+06
0.198000000000074E-06 0.299020000000111E+03  0.415642256844016E+05  0.184821454164577E+06
0.200000000000077E-06 0.302000000000114E+03  0.468193636187224E+05  0.180513840837635E+06
0.202000000000079E-06 0.304980000000117E+03  0.501143726744246E+05  0.188165738109231E+06
0.204000000000081E-06 0.307960000000121E+03  0.355233378922198E+05  0.178262357403312E+06
0.206000000000083E-06 0.310940000000124E+03  0.427954281584016E+05  0.182440724083654E+06
0.208000000000086E-06 0.313920000000128E+03  0.430663358672466E+05  0.175287266452682E+06
0.210000000000088E-06 0.316900000000131E+03  0.429435757929550E+05  0.175530885295969E+06
0.212000000000090E-06 0.319880000000134E+03  0.461262304268544E+05  0.161153234627932E+06
0.214000000000092E-06 0.322860000000138E+03  0.519219066330482E+05  0.158902756126398E+06
0.216000000000095E-06 0.325840000000141E+03  0.471167653585073E+05  0.152381507338757E+06
0.218000000000097E-06 0.328820000000144E+03  0.562867678679790E+05  0.144924739708339E+06
0.220000000000099E-06 0.331800000000148E+03  0.485174607680290E+05  0.136681649002203E+06
0.222000000000101E-06 0.334780000000151E+03  0.488212641380861E+05  0.141415362294432E+06
0.224000000000104E-06 0.337760000000155E+03  0.551117242443506E+05  0.139013209800304E+06
0.226000000000106E-06 0.340740000000158E+03  0.534014304155845E+05  0.127658694659081E+06
0.228000000000108E-06 0.343720000000161E+03  0.486962612117915E+05  0.122166485770037E+06
0.230000000000111E-06 0.346700000000165E+03  0.596393483465235E+05  0.113994322281042E+06
0.232000000000113E-06 0.349680000000168E+03  0.602522987564115E+05  0.119897302482449E+06
0.234000000000115E-06 0.352660000000171E+03  0.509886737828983E+05  0.113178424822103E+06
0.236000000000117E-06 0.355640000000175E+03  0.511137056171776E+05  0.113002630876689E+06
0.238000000000120E-06 0.358620000000178E+03  0.498646805490661E+05  0.109606726169868E+06
