#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01 -0.297325302419221E+04  0.294263555386891E+06
0.400000000000002E-08 0.996000000000003E+01 -0.199450580376442E+04  0.295162490121273E+06
0.599999999999997E-08 0.129400000000000E+02 -0.234187153732152E+04  0.294438287857709E+06
0.799999999999992E-08 0.159199999999999E+02 -0.117216518352032E+04  0.294489289710975E+06
0.999999999999988E-08 0.188999999999998E+02 -0.286032913459801E+04  0.292846884559026E+06
0.119999999999998E-07 0.218799999999997E+02 -0.326523945795948E+04  0.292956349394815E+06
0.139999999999998E-07 0.248599999999997E+02 -0.190577607825926E+04  0.292620633377782E+06
0.159999999999999E-07 0.278399999999999E+02 -0.301996099204148E+04  0.291471698806067E+06
0.180000000000002E-07 0.308200000000003E+02 -0.272500892722160E+04  0.292058444356927E+06
0.200000000000005E-07 0.338000000000007E+02 -0.148869817192524E+04  0.293134036744666E+06
0.220000000000008E-07 0.367800000000011E+02 -0.201158688613667E+04  0.292334224766788E+06
0.240000000000010E-07 0.397600000000016E+02 -0.302698192097039E+04  0.292996047669235E+06
0.260000000000013E-07 0.427400000000020E+02 -0.278333083376195E+04  0.292193073821962E+06
0.280000000000016E-07 0.457200000000024E+02 -0.334712324108220E+04  0.291320485991876E+06
0.300000000000018E-07 0.487000000000027E+02 -0.145058703560963E+04  0.294446684684678E+06
0.320000000000014E-07 0.516800000000022E+02 -0.432449638473491E+02  0.293291756923358E+06
0.340000000000011E-07 0.546600000000016E+02 -0.378792138899435E+03  0.292402530922949E+06
0.360000000000007E-07 0.576400000000010E+02 -0.176139378020126E+04  0.290383067114717E+06
0.380000000000003E-07 0.606200000000005E+02 -0.102614757602797E+03  0.290754184815356E+06
0.399999999999999E-07 0.635999999999999E+02 -0.202405068447923E+04  0.290410991853055E+06
0.419999999999995E-07 0.665799999999993E+02 -0.103163464349649E+04  0.288145228082947E+06
0.439999999999992E-07 0.695599999999988E+02 -0.340342754800939E+04  0.289504248887521E+06
0.459999999999988E-07 0.725399999999982E+02 -0.218832571160700E+04  0.290407793368395E+06
0.479999999999984E-07 0.755199999999976E+02 -0.174948503399783E+04  0.287615307808404E+06
0.499999999999980E-07 0.784999999999971E+02  0.179233010699687E+04  0.287524702120167E+06
0.519999999999977E-07 0.814799999999965E+02  0.177715759120946E+02  0.288212441346140E+06
0.539999999999973E-07 0.844599999999959E+02 -0.169310073087710E+04  0.287079244786447E+06
0.559999999999969E-07 0.874399999999954E+02 -0.162722083129031E+04  0.289968680282387E+06
0.579999999999965E-07 0.904199999999948E+02 -0.549974178305097E+02  0.286199476697093E+06
0.599999999999961E-07 0.933999999999943E+02 -0.378999462354086E+04  0.289125666117456E+06
0.619999999999958E-07 0.963799999999937E+02 -0.201347621066175E+04  0.287898806369890E+06
0.639999999999954E-07 0.993599999999931E+02  0.283783615317041E+04  0.288056094264103E+06
0.659999999999950E-07 0.102339999999993E+03 -0.134309064873104E+04  0.286700532363840E+06
0.679999999999946E-07 0.105319999999992E+03  0.198536028451309E+04  0.285296092664648E+06
0.699999999999942E-07 0.108299999999991E+03 -0.240108185475160E+04  0.285745559743728E+06
0.719999999999939E-07 0.111279999999991E+03 -0.113158891970771E+04  0.285461402954149E+06
0.739999999999935E-07 0.114259999999990E+03 -0.209720974628755E+04  0.281416514296787E+06
0.759999999999931E-07 0.117239999999990E+03 -0.591899625338283E+04  0.282061135535013E+06
0.779999999999927E-07 0.120219999999989E+03  0.158352000643267E+04  0.284234963472167E+06
0.799999999999924E-07 0.123199999999989E+03 -0.321900802129438E+03  0.284497331048653E+06
0.819999999999920E-07 0.126179999999988E+03 -0.302967411742146E+04  0.283715882221041E+06
0.839999999999916E-07 0.129159999999987E+03 -0.325251756702287E+04  0.283774730990546E+06
0.859999999999912E-07 0.132139999999987E+03 -0.449038454256304E+03  0.283434502272716E+06
0.879999999999908E-07 0.135119999999986E+03  0.284132058836702E+04  0.281673526011009E+06
0.899999999999905E-07 0.138099999999986E+03 -0.147471335349466E+04  0.280799249131451E+06
0.919999999999901E-07 0.141079999999985E+03 -0.361104140490428E+04  0.288179051178976E+06
0.939999999999897E-07 0.144059999999985E+03 -0.358514727975308E+04  0.284908838728288E+06
0.959999999999893E-07 0.147039999999984E+03 -0.317807305786040E+04  0.284432342077774E+06
0.979999999999889E-07 0.150019999999984E+03 -0.166093511705114E+04  0.282005124336450E+06
0.999999999999886E-07 0.152999999999983E+03 -0.427175461588051E+04  0.282650260886546E+06
0.101999999999988E-06 0.155979999999982E+03 -0.106527200214191E+04  0.281802355319207E+06
0.103999999999988E-06 0.158959999999982E+03  0.371574621998325E+04  0.281724757170495E+06
0.105999999999987E-06 0.161939999999981E+03  0.375486947499241E+04  0.282988116257109E+06
0.107999999999987E-06 0.164919999999981E+03  0.783488562809818E+01  0.279666458212804E+06
0.109999999999987E-06 0.167899999999980E+03 -0.232991175880173E+04  0.281821785402524E+06
0.111999999999986E-06 0.170879999999980E+03 -0.117350072419668E+04  0.284040332497552E+06
0.113999999999986E-06 0.173859999999979E+03 -0.909291155123378E+03  0.279166605369292E+06
0.115999999999986E-06 0.176839999999978E+03  0.269799524335787E+04  0.282067117726970E+06
0.117999999999985E-06 0.179819999999978E+03  0.779839750206283E+04  0.283008450039464E+06
0.119999999999986E-06 0.182799999999979E+03  0.232356976054590E+04  0.275321327695672E+06
0.121999999999988E-06 0.185779999999982E+03  0.491069925665151E+04  0.281523434003135E+06
0.123999999999990E-06 0.188759999999986E+03  0.550165191215865E+04  0.278733684189107E+06
0.125999999999993E-06 0.191739999999989E+03  0.873554287737878E+03  0.276255653468824E+06
0.127999999999995E-06 0.194719999999992E+03 -0.166597464934162E+03  0.279795420125772E+06
0.129999999999997E-06 0.197699999999996E+03  0.535308115001404E+04  0.280270770449448E+06
0.131999999999999E-06 0.200679999999999E+03  0.594812807646471E+04  0.276161471766630E+06
0.134000000000002E-06 0.203660000000003E+03  0.180903731035608E+04  0.275382292786903E+06
0.136000000000004E-06 0.206640000000006E+03  0.369486106888978E+04  0.275116490285602E+06
0.138000000000006E-06 0.209620000000009E+03  0.169039853044448E+04  0.274625809122288E+06
0.140000000000009E-06 0.212600000000013E+03  0.443159009593856E+04  0.273752596862344E+06
0.142000000000011E-06 0.215580000000016E+03 -0.737234534064691E+03  0.269547001029495E+06
0.144000000000013E-06 0.218560000000019E+03 -0.752124261000846E+02  0.267899188102690E+06
0.146000000000015E-06 0.221540000000023E+03  0.696125528140047E+02  0.267258583133362E+06
0.148000000000018E-06 0.224520000000026E+03 -0.281254795293691E+04  0.265098710075412E+06
0.150000000000020E-06 0.227500000000030E+03  0.713646488341067E+04  0.268532385979235E+06
0.152000000000022E-06 0.230480000000033E+03  0.513730036444101E+04  0.259608590912395E+06
0.154000000000024E-06 0.233460000000036E+03  0.591394942198856E+04  0.262634460306268E+06
0.156000000000027E-06 0.236440000000040E+03  0.101739893810294E+05  0.256742866753010E+06
0.158000000000029E-06 0.239420000000043E+03  0.799044309406456E+04  0.263582249985324E+06
0.160000000000031E-06 0.242400000000046E+03 -0.166399994455466E+03  0.260488435290974E+06
