#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01  0.307726716768997E+04  0.290574741377410E+06
0.400000000000002E-08 0.996000000000003E+01  0.241597063151707E+04  0.291132111801646E+06
0.599999999999997E-08 0.129400000000000E+02  0.242037385309132E+04  0.289964525432645E+06
0.799999999999992E-08 0.159199999999999E+02  0.282561506082100E+04  0.290587771624738E+06
0.999999999999988E-08 0.188999999999998E+02  0.192592667096015E+04  0.289203098703202E+06
0.119999999999998E-07 0.218799999999997E+02  0.236393385157210E+04  0.291812054069994E+06
0.139999999999998E-07 0.248599999999997E+02  0.242346386497998E+04  0.288507898036076E+06
0.159999999999999E-07 0.278399999999999E+02  0.217779912190756E+04  0.290448678966683E+06
0.180000000000002E-07 0.308200000000003E+02  0.142483770335065E+04  0.289496173841848E+06
0.200000000000005E-07 0.338000000000007E+02  0.224486685189597E+04  0.289809802991663E+06
0.220000000000008E-07 0.367800000000011E+02  0.206122728164237E+04  0.289859427220809E+06
0.240000000000010E-07 0.397600000000016E+02  0.325340413564853E+04  0.288700801959563E+06
0.260000000000013E-07 0.427400000000020E+02  0.168701885593091E+04  0.289631003262217E+06
0.280000000000016E-07 0.457200000000024E+02  0.206102485470282E+04  0.287421587497623E+06
0.300000000000018E-07 0.487000000000027E+02  0.154935416484051E+04  0.287205969573964E+06
0.320000000000014E-07 0.516800000000022E+02  0.392326980634476E+04  0.287775066449168E+06
0.340000000000011E-07 0.546600000000016E+02 -0.331839429568863E+03  0.286934252137143E+06
0.360000000000007E-07 0.576400000000010E+02  0.506917492704014E+04  0.287617823258441E+06
0.380000000000003E-07 0.606200000000005E+02  0.187813176081779E+04  0.286893139294660E+06
0.399999999999999E-07 0.635999999999999E+02  0.405177572544444E+04  0.289394128415563E+06
0.419999999999995E-07 0.665799999999993E+02  0.162615183178858E+04  0.287892136878934E+06
0.439999999999992E-07 0.695599999999988E+02  0.440222640730056E+04  0.285020301326139E+06
0.459999999999988E-07 0.725399999999982E+02  0.187964117551499E+04  0.287089904604736E+06
0.479999999999984E-07 0.755199999999976E+02  0.276267943822166E+03  0.285153949344890E+06
0.499999999999980E-07 0.784999999999971E+02  0.508516571633326E+03  0.285644841663727E+06
0.519999999999977E-07 0.814799999999965E+02 -0.108178772245558E+02  0.286145547189044E+06
0.539999999999973E-07 0.844599999999959E+02  0.185835924508828E+04  0.286675777099348E+06
0.559999999999969E-07 0.874399999999954E+02  0.190074295029013E+04  0.284954621541532E+06
0.579999999999965E-07 0.904199999999948E+02  0.421807515839775E+04  0.284641820589962E+06
0.599999999999961E-07 0.933999999999943E+02  0.181792568785956E+04  0.284739637689814E+06
0.619999999999958E-07 0.963799999999937E+02  0.263456991439200E+04  0.283479754028889E+06
0.639999999999954E-07 0.993599999999931E+02  0.437754628456786E+04  0.284137162649931E+06
0.659999999999950E-07 0.102339999999993E+03  0.436312666719255E+04  0.282362965888200E+06
0.679999999999946E-07 0.105319999999992E+03  0.276297834807241E+04  0.283975325639032E+06
0.699999999999942E-07 0.108299999999991E+03  0.252152710340345E+04  0.281447090111601E+06
0.719999999999939E-07 0.111279999999991E+03  0.278781450950321E+04  0.280545525247664E+06
0.739999999999935E-07 0.114259999999990E+03  0.629957302802411E+03  0.283037075315447E+06
0.759999999999931E-07 0.117239999999990E+03  0.624007219631355E+04  0.286079445227509E+06
0.779999999999927E-07 0.120219999999989E+03  0.686594688009320E+04  0.280248783465945E+06
0.799999999999924E-07 0.123199999999989E+03 -0.904762000513955E+03  0.283019438319539E+06
0.819999999999920E-07 0.126179999999988E+03  0.290373283740999E+03  0.283783703273446E+06
0.839999999999916E-07 0.129159999999987E+03  0.425686640667868E+04  0.278357824618921E+06
0.859999999999912E-07 0.132139999999987E+03  0.278628962619771E+04  0.277183312502799E+06
0.879999999999908E-07 0.135119999999986E+03  0.108499365279413E+04  0.280038847672797E+06
0.899999999999905E-07 0.138099999999986E+03  0.181515275393878E+04  0.280624945391184E+06
0.919999999999901E-07 0.141079999999985E+03  0.135441823111401E+04  0.278700340561985E+06
0.939999999999897E-07 0.144059999999985E+03  0.123977485333861E+04  0.277739888914548E+06
0.959999999999893E-07 0.147039999999984E+03  0.542001462003871E+04  0.278848856866606E+06
0.979999999999889E-07 0.150019999999984E+03  0.413508433820913E+04  0.279554901693088E+06
0.999999999999886E-07 0.152999999999983E+03  0.216320056539661E+04  0.277638654355931E+06
0.101999999999988E-06 0.155979999999982E+03  0.521613248740154E+04  0.279067911849033E+06
0.103999999999988E-06 0.158959999999982E+03 -0.413657773091768E+04  0.278750224451479E+06
0.105999999999987E-06 0.161939999999981E+03 -0.464379876590730E+03  0.280963561368787E+06
0.107999999999987E-06 0.164919999999981E+03  0.401201124603570E+04  0.273491625617200E+06
0.109999999999987E-06 0.167899999999980E+03  0.203753314660222E+04  0.275866735658149E+06
0.111999999999986E-06 0.170879999999980E+03 -0.440562629785372E+03  0.271741847741258E+06
