#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.200000000000000E-08 0.698000000000000E+01 -0.225367995197556E+04  0.291162527086472E+06
0.400000000000002E-08 0.996000000000003E+01 -0.288499008021662E+04  0.289508229062873E+06
0.599999999999997E-08 0.129400000000000E+02 -0.100898302450522E+04  0.290790071108227E+06
0.799999999999992E-08 0.159199999999999E+02 -0.331167222575396E+04  0.289032037078787E+06
0.999999999999988E-08 0.188999999999998E+02 -0.311943842858705E+04  0.290487025249857E+06
0.119999999999998E-07 0.218799999999997E+02 -0.322675252502066E+04  0.287715749183243E+06
0.139999999999998E-07 0.248599999999997E+02 -0.208109860311638E+04  0.288450455371426E+06
0.159999999999999E-07 0.278399999999999E+02 -0.295578895873526E+04  0.288558833426276E+06
0.180000000000002E-07 0.308200000000003E+02 -0.176005013413836E+04  0.287751172046361E+06
0.200000000000005E-07 0.338000000000007E+02 -0.282190787925708E+04  0.288824478099835E+06
0.220000000000008E-07 0.367800000000011E+02 -0.359808307799778E+04  0.288907794643495E+06
0.240000000000010E-07 0.397600000000016E+02 -0.317521770298975E+04  0.286498167740918E+06
0.260000000000013E-07 0.427400000000020E+02 -0.192352285891710E+04  0.286670514539958E+06
0.280000000000016E-07 0.457200000000024E+02 -0.521858877325002E+03  0.288186090654913E+06
0.300000000000018E-07 0.487000000000027E+02 -0.212008273973651E+04  0.288467245497514E+06
0.320000000000014E-07 0.516800000000022E+02 -0.155722929172255E+04  0.286258380846618E+06
0.340000000000011E-07 0.546600000000016E+02 -0.326168780992631E+04  0.285886766799423E+06
0.360000000000007E-07 0.576400000000010E+02 -0.177538100966064E+04  0.285690485571815E+06
0.380000000000003E-07 0.606200000000005E+02 -0.269912220651446E+03  0.287102742383229E+06
0.399999999999999E-07 0.635999999999999E+02 -0.318436954677768E+04  0.285550494674921E+06
0.419999999999995E-07 0.665799999999993E+02 -0.147409722881788E+04  0.287057028284124E+06
0.439999999999992E-07 0.695599999999988E+02 -0.188373434644758E+04  0.286266969177499E+06
0.459999999999988E-07 0.725399999999982E+02 -0.286952892571968E+04  0.284184964189832E+06
0.479999999999984E-07 0.755199999999976E+02 -0.141247956579967E+04  0.283623785554816E+06
0.499999999999980E-07 0.784999999999971E+02 -0.318032442941932E+04  0.284672359974047E+06
0.519999999999977E-07 0.814799999999965E+02 -0.190549067613849E+04  0.283278857813727E+06
0.539999999999973E-07 0.844599999999959E+02 -0.432533266214343E+03  0.284122875709150E+06
0.559999999999969E-07 0.874399999999954E+02 -0.179843476857425E+04  0.282811837374163E+06
0.579999999999965E-07 0.904199999999948E+02  0.470522533140947E+03  0.286686636686380E+06
0.599999999999961E-07 0.933999999999943E+02 -0.276945100380296E+04  0.284517934055292E+06
0.619999999999958E-07 0.963799999999937E+02 -0.293241436252273E+04  0.282689904659313E+06
0.639999999999954E-07 0.993599999999931E+02 -0.130376216630700E+04  0.281930292845828E+06
0.659999999999950E-07 0.102339999999993E+03 -0.179492506629977E+04  0.280152744561216E+06
0.679999999999946E-07 0.105319999999992E+03 -0.942498358542730E+03  0.284630040712671E+06
0.699999999999942E-07 0.108299999999991E+03 -0.381086760589083E+04  0.281996629726199E+06
0.719999999999939E-07 0.111279999999991E+03 -0.130919238948040E+04  0.279789689408117E+06
0.739999999999935E-07 0.114259999999990E+03 -0.267214005777391E+04  0.278963480391005E+06
0.759999999999931E-07 0.117239999999990E+03 -0.773944498098662E+03  0.280784487635011E+06
